SEASON,STATISTIC,PEARSON_CORRELATION,PEARSON_CORRELATION_ABS,SPEARMAN_CORRELATION,SPEARMAN_CORRELATION_ABS,PEARSON_CORRELATION_RANK,SPEARMAN_CORRELATION_RANK,AVERAGE_RANK
2016-2017,PER100_FG,0.6090950294460076,0.6090950294460076,0.4689279573575707,0.4689279573575707,29,33,31.0
2016-2017,AVERAGE_AGE,0.516045420891536,0.516045420891536,0.5287631858309286,0.5287631858309286,34,31,32.5
2016-2017,PER100_3P,0.4800023306163656,0.4800023306163656,0.44629135707219236,0.44629135707219236,35,35,35.0
2016-2017,FG%_16-3PT,0.5366515557661741,0.5366515557661741,0.4097959522660855,0.4097959522660855,32,40,36.0
2016-2017,PER100_AST,0.527548097707109,0.527548097707109,0.41208650712556616,0.41208650712556616,33,39,36.0
2016-2017,%FGA_3-10,-0.4567477305038971,0.4567477305038971,-0.4279512862673407,0.4279512862673407,37,37,37.0
2016-2017,OPP_PER100_FG,-0.402286095290728,0.402286095290728,-0.4805136825046735,0.4805136825046735,43,32,37.5
2016-2017,OPP_PER100_BLK,-0.4516548659677754,0.4516548659677754,-0.4253114680538655,0.4253114680538655,38,38,38.0
2016-2017,SOS,-0.4129502044941963,0.4129502044941963,-0.45189031747292197,0.45189031747292197,42,34,38.0
2016-2017,OPP_PER100_DRB,-0.43659774433581655,0.43659774433581655,-0.42912935154679627,0.42912935154679627,41,36,38.5
2016-2017,OPP_PER100_2P%,-0.4393107326500861,0.4393107326500861,-0.4094562095606,0.4094562095606,39,41,40.0
2016-2017,FG%_0-3,0.4676762462583386,0.4676762462583386,0.387823719186211,0.387823719186211,36,45,40.5
2016-2017,OPP_FG%_2P,-0.43837477392511925,0.43837477392511925,-0.4032117793494362,0.4032117793494362,40,42,41.0
2016-2017,FG%3_CORNER,0.4009796611116301,0.4009796611116301,0.38885220159778183,0.38885220159778183,44,44,44.0
2016-2017,OPP_PER100_TRB,-0.364580928496922,0.364580928496922,-0.39437568911147675,0.39437568911147675,48,43,45.5
